Timestamp,Leaf Wetness,Temperature (°C),Humidity (%),Rainfall (mm),Fungal Risk
2025-05-02 15:30:00,Yes,20.9,73.4,1.18,Medium
2025-05-02 16:00:00,Yes,16.0,78.9,0.9,Medium
2025-05-02 16:30:00,Yes,24.3,68.0,0.23,Low
2025-05-02 17:00:00,Yes,17.6,73.5,1.91,Medium
2025-05-02 17:30:00,Yes,22.0,67.4,1.23,Medium
2025-05-02 18:00:00,Yes,30.6,90.3,0.0,Medium
2025-05-02 18:30:00,Yes,17.6,92.7,0.0,Medium
2025-05-02 19:00:00,Yes,22.2,87.7,0.0,Medium
2025-05-02 19:30:00,No,19.7,47.6,0.0,Low
2025-05-02 20:00:00,Yes,18.7,67.5,1.81,Medium
2025-05-02 20:30:00,Yes,12.8,75.6,0.6,Medium
2025-05-02 21:00:00,Yes,27.2,65.6,1.43,Medium
2025-05-02 21:30:00,Yes,20.1,70.2,0.87,Medium
2025-05-02 22:00:00,Yes,21.0,74.0,0.56,Medium
2025-05-02 22:30:00,Yes,18.1,81.1,1.03,Medium
2025-05-02 23:00:00,Yes,27.9,67.6,2.21,Medium
2025-05-02 23:30:00,Yes,10.2,78.5,0.97,Medium
2025-05-03 00:00:00,Yes,21.4,73.8,0.33,Medium
2025-05-03 00:30:00,Yes,17.5,74.1,1.18,Medium
2025-05-03 01:00:00,Yes,21.8,73.1,1.22,Medium
2025-05-03 01:30:00,Yes,21.5,88.1,1.0,Medium
2025-05-03 02:00:00,Yes,15.9,74.4,1.1,Medium
2025-05-03 02:30:00,Yes,23.1,79.8,0.59,Medium
2025-05-03 03:00:00,Yes,26.4,74.1,0.94,Medium
2025-05-03 03:30:00,Yes,19.0,77.8,1.38,Medium
2025-05-03 04:00:00,Yes,24.1,88.1,1.54,Medium
2025-05-03 04:30:00,Yes,20.1,86.8,0.25,Medium
2025-05-03 05:00:00,Yes,21.6,78.7,0.58,Medium
2025-05-03 05:30:00,Yes,23.0,71.8,2.17,Medium
2025-05-03 06:00:00,Yes,15.0,67.9,1.43,Medium
2025-05-03 06:30:00,Yes,24.0,86.2,1.0,Medium
2025-05-03 07:00:00,Yes,19.9,71.0,0.56,Medium
2025-05-03 07:30:00,Yes,16.6,89.8,0.38,Medium
2025-05-03 08:00:00,Yes,15.9,76.8,0.83,Medium
2025-05-03 08:30:00,Yes,17.2,71.8,0.69,Medium
2025-05-03 09:00:00,No,21.2,74.9,0.12,Low
2025-05-03 09:30:00,No,21.2,65.5,0.0,Low
2025-05-03 10:00:00,Yes,16.4,77.9,0.75,Medium
2025-05-03 10:30:00,Yes,27.4,88.6,0.37,Medium
2025-05-03 11:00:00,Yes,19.9,70.0,0.49,Medium
2025-05-03 11:30:00,No,18.6,83.2,0.0,Low
2025-05-03 12:00:00,Yes,22.6,95.3,0.41,High
2025-05-03 12:30:00,Yes,22.0,86.9,0.18,Medium
2025-05-03 13:00:00,Yes,21.1,80.1,0.58,Medium
2025-05-03 13:30:00,Yes,16.1,80.2,0.9,Medium
2025-05-03 14:00:00,Yes,27.3,89.6,2.22,Medium
2025-05-03 14:30:00,Yes,16.2,88.7,0.65,Medium
2025-05-03 15:00:00,No,30.9,71.9,0.0,Low
2025-05-03 15:30:00,No,17.0,58.8,0.08,Low
2025-05-03 16:00:00,Yes,16.2,81.5,0.77,Medium
2025-05-03 16:30:00,Yes,29.4,89.5,0.04,Medium
2025-05-03 17:00:00,No,15.5,84.9,0.0,Low
2025-05-03 17:30:00,Yes,29.2,91.8,0.12,Medium
2025-05-03 18:00:00,Yes,11.4,93.5,0.41,Medium
2025-05-03 18:30:00,No,26.2,64.1,0.02,Low
2025-05-03 19:00:00,No,20.0,80.5,0.14,Low
2025-05-03 19:30:00,Yes,23.1,69.3,0.39,Medium
2025-05-03 20:00:00,Yes,20.6,85.1,1.07,Medium
2025-05-03 20:30:00,Yes,14.4,64.7,1.52,Medium
2025-05-03 21:00:00,Yes,21.7,72.5,1.74,Medium
2025-05-03 21:30:00,Yes,20.6,91.8,0.55,High
2025-05-03 22:00:00,Yes,30.3,97.6,0.3,Medium
2025-05-03 22:30:00,Yes,24.9,86.5,1.59,Medium
2025-05-03 23:00:00,Yes,15.2,86.9,1.35,Medium
2025-05-03 23:30:00,No,11.2,68.2,0.0,Low
2025-05-04 00:00:00,Yes,18.7,87.2,1.7,Medium
2025-05-04 00:30:00,Yes,20.4,96.3,0.0,High
2025-05-04 01:00:00,Yes,11.5,79.4,0.81,Medium
2025-05-04 01:30:00,Yes,19.8,59.3,0.43,Medium
2025-05-04 02:00:00,Yes,13.5,86.7,0.79,Medium
2025-05-04 02:30:00,No,15.3,74.9,0.0,Low
2025-05-04 03:00:00,Yes,19.7,89.6,0.0,Medium
2025-05-04 03:30:00,No,22.5,74.7,0.0,Low
2025-05-04 04:00:00,No,19.5,69.6,0.06,Low
2025-05-04 04:30:00,Yes,14.0,99.6,0.53,Medium
2025-05-04 05:00:00,Yes,16.5,82.1,0.41,Medium
2025-05-04 05:30:00,Yes,18.9,86.1,1.11,Medium
2025-05-04 06:00:00,Yes,17.3,74.2,0.28,Low
2025-05-04 06:30:00,Yes,8.5,64.8,1.59,Medium
2025-05-04 07:00:00,Yes,28.2,77.5,0.96,Medium
2025-05-04 07:30:00,Yes,21.6,110.8,1.4,High
2025-05-04 08:00:00,No,19.4,70.4,0.0,Low
2025-05-04 08:30:00,No,21.0,72.4,0.0,Low
2025-05-04 09:00:00,Yes,16.8,69.2,1.85,Medium
2025-05-04 09:30:00,Yes,24.4,79.9,1.68,Medium
2025-05-04 10:00:00,Yes,20.4,71.4,1.72,Medium
2025-05-04 10:30:00,Yes,22.7,69.6,0.35,Medium
2025-05-04 11:00:00,Yes,15.6,66.2,1.24,Medium
2025-05-04 11:30:00,Yes,29.5,66.0,0.95,Medium
2025-05-04 12:00:00,No,16.7,75.1,0.03,Low
2025-05-04 12:30:00,No,15.7,80.5,0.0,Low
2025-05-04 13:00:00,Yes,21.4,79.5,0.31,Medium
2025-05-04 13:30:00,Yes,15.5,74.2,1.1,Medium
2025-05-04 14:00:00,Yes,22.5,70.2,0.58,Medium
2025-05-04 14:30:00,Yes,23.8,63.3,0.93,Medium
2025-05-04 15:00:00,Yes,16.7,85.7,0.0,Medium
2025-05-04 15:30:00,Yes,11.0,63.7,0.54,Medium
2025-05-04 16:00:00,Yes,21.3,71.0,1.01,Medium
2025-05-04 16:30:00,No,11.7,79.3,0.0,Low
2025-05-04 17:00:00,No,16.7,80.5,0.0,Low
2025-05-04 17:30:00,Yes,18.1,90.1,0.04,High
2025-05-04 18:00:00,Yes,24.2,68.7,0.92,Medium
2025-05-04 18:30:00,No,27.2,55.3,0.0,Low
2025-05-04 19:00:00,Yes,22.9,78.0,0.8,Medium
2025-05-04 19:30:00,Yes,17.0,80.9,0.38,Medium
2025-05-04 20:00:00,Yes,25.8,82.5,0.77,Medium
2025-05-04 20:30:00,No,17.9,75.1,0.15,Low
2025-05-04 21:00:00,Yes,22.0,75.8,0.73,Medium
2025-05-04 21:30:00,Yes,30.4,88.7,0.24,Medium
2025-05-04 22:00:00,No,26.0,75.9,0.0,Low
2025-05-04 22:30:00,Yes,15.0,61.3,0.22,Low
2025-05-04 23:00:00,Yes,20.1,96.8,0.76,High
2025-05-04 23:30:00,Yes,18.9,88.3,0.0,Medium
2025-05-05 00:00:00,Yes,21.2,87.7,0.0,Medium
2025-05-05 00:30:00,No,25.7,83.4,0.17,Low
2025-05-05 01:00:00,Yes,23.2,102.7,0.65,High
2025-05-05 01:30:00,No,21.2,75.4,0.0,Low
2025-05-05 02:00:00,Yes,24.2,71.4,0.56,Medium
2025-05-05 02:30:00,Yes,17.6,84.8,0.77,Medium
2025-05-05 03:00:00,Yes,25.2,74.9,0.28,Low
2025-05-05 03:30:00,Yes,15.1,75.6,0.8,Medium
2025-05-05 04:00:00,Yes,23.8,70.8,1.2,Medium
2025-05-05 04:30:00,Yes,26.8,84.1,2.0,Medium
2025-05-05 05:00:00,No,16.1,67.6,0.0,Low
2025-05-05 05:30:00,Yes,27.5,86.5,0.46,Medium
2025-05-05 06:00:00,Yes,21.4,68.7,2.46,Medium
2025-05-05 06:30:00,Yes,20.6,81.1,1.08,Medium
2025-05-05 07:00:00,No,22.4,82.2,0.0,Low
2025-05-05 07:30:00,Yes,22.4,98.8,1.58,High
2025-05-05 08:00:00,No,28.0,74.9,0.0,Low
2025-05-05 08:30:00,Yes,19.4,80.6,1.38,Medium
2025-05-05 09:00:00,Yes,11.5,95.3,0.37,Medium
2025-05-05 09:30:00,No,17.9,69.9,0.0,Low
2025-05-05 10:00:00,No,24.1,80.7,0.0,Low
2025-05-05 10:30:00,Yes,13.5,76.6,1.84,Medium
2025-05-05 11:00:00,Yes,18.7,65.0,0.3,Medium
2025-05-05 11:30:00,Yes,18.6,53.0,0.46,Medium
2025-05-05 12:00:00,Yes,18.8,87.0,1.98,Medium
2025-05-05 12:30:00,No,25.6,77.3,0.0,Low
2025-05-05 13:00:00,Yes,32.9,80.6,0.51,Medium
2025-05-05 13:30:00,Yes,19.9,82.0,0.38,Medium
2025-05-05 14:00:00,Yes,17.1,74.5,0.47,Medium
2025-05-05 14:30:00,Yes,17.3,72.9,0.59,Medium
2025-05-05 15:00:00,Yes,18.7,95.0,0.0,High
2025-05-05 15:30:00,Yes,25.5,92.5,0.0,High
2025-05-05 16:00:00,No,18.3,76.3,0.0,Low
2025-05-05 16:30:00,Yes,16.1,68.9,1.9,Medium
2025-05-05 17:00:00,Yes,24.7,92.7,1.08,High
2025-05-05 17:30:00,Yes,14.4,74.8,0.89,Medium
2025-05-05 18:00:00,Yes,13.9,87.1,0.31,Medium
2025-05-05 18:30:00,Yes,18.1,87.1,0.86,Medium
2025-05-05 19:00:00,Yes,18.2,91.6,0.0,High
2025-05-05 19:30:00,Yes,23.1,85.9,0.25,Medium
2025-05-05 20:00:00,Yes,21.6,67.5,1.24,Medium
2025-05-05 20:30:00,Yes,19.1,74.8,1.34,Medium
2025-05-05 21:00:00,No,16.5,65.9,0.0,Low
2025-05-05 21:30:00,Yes,23.0,67.2,1.9,Medium
2025-05-05 22:00:00,Yes,9.6,97.0,0.67,Medium
2025-05-05 22:30:00,Yes,19.5,74.6,0.82,Medium
2025-05-05 23:00:00,Yes,19.8,91.0,0.59,High
2025-05-05 23:30:00,Yes,20.8,76.4,0.45,Medium
2025-05-06 00:00:00,No,21.5,62.9,0.0,Low
2025-05-06 00:30:00,Yes,23.7,81.7,0.35,Medium
2025-05-06 01:00:00,No,20.1,83.5,0.07,Low
2025-05-06 01:30:00,No,16.1,82.0,0.0,Low
2025-05-06 02:00:00,Yes,22.0,63.0,1.32,Medium
2025-05-06 02:30:00,Yes,22.4,82.6,1.29,Medium
2025-05-06 03:00:00,Yes,28.3,90.1,0.0,Medium
2025-05-06 03:30:00,Yes,13.6,73.8,0.52,Medium
2025-05-06 04:00:00,Yes,22.6,72.7,0.65,Medium
2025-05-06 04:30:00,No,16.2,73.9,0.0,Low
2025-05-06 05:00:00,No,15.4,66.5,0.0,Low
2025-05-06 05:30:00,Yes,25.3,70.5,2.61,Medium
2025-05-06 06:00:00,No,22.5,81.8,0.0,Low
2025-05-06 06:30:00,Yes,23.5,74.2,0.6,Medium
2025-05-06 07:00:00,Yes,32.8,79.0,1.42,Medium
2025-05-06 07:30:00,Yes,16.5,79.7,1.92,Medium
2025-05-06 08:00:00,Yes,16.9,98.1,1.07,Medium
2025-05-06 08:30:00,Yes,17.2,86.3,1.28,Medium
2025-05-06 09:00:00,No,23.1,64.3,0.0,Low
2025-05-06 09:30:00,Yes,18.8,79.3,1.0,Medium
2025-05-06 10:00:00,Yes,20.9,66.6,0.8,Medium
2025-05-06 10:30:00,Yes,23.1,85.6,1.36,Medium
2025-05-06 11:00:00,Yes,24.2,84.6,0.44,Medium
2025-05-06 11:30:00,Yes,11.7,84.3,0.67,Medium
2025-05-06 12:00:00,No,21.4,67.2,0.0,Low
2025-05-06 12:30:00,Yes,25.3,79.6,1.05,Medium
2025-05-06 13:00:00,Yes,20.1,80.3,1.25,Medium
2025-05-06 13:30:00,No,17.4,81.0,0.13,Low
2025-05-06 14:00:00,Yes,17.8,76.9,0.68,Medium
2025-05-06 14:30:00,Yes,17.6,92.6,0.0,Medium
2025-05-06 15:00:00,Yes,19.1,75.6,1.66,Medium
2025-05-06 15:30:00,Yes,21.0,90.3,0.0,High
2025-05-06 16:00:00,Yes,21.3,88.9,0.57,Medium
2025-05-06 16:30:00,Yes,25.3,74.8,1.63,Medium
2025-05-06 17:00:00,No,31.5,76.4,0.14,Low
2025-05-06 17:30:00,Yes,27.3,95.8,0.08,High
2025-05-06 18:00:00,No,17.9,77.2,0.0,Low
2025-05-06 18:30:00,No,15.4,70.0,0.0,Low
2025-05-06 19:00:00,Yes,19.8,82.3,1.74,Medium
2025-05-06 19:30:00,Yes,15.0,89.8,0.33,Medium
2025-05-06 20:00:00,Yes,19.8,86.7,0.0,Medium
2025-05-06 20:30:00,Yes,21.9,81.7,0.89,Medium
2025-05-06 21:00:00,Yes,21.4,104.6,0.0,High
2025-05-06 21:30:00,No,17.3,73.8,0.06,Low
2025-05-06 22:00:00,Yes,16.8,91.9,1.64,Medium
2025-05-06 22:30:00,Yes,17.1,71.7,0.88,Medium
2025-05-06 23:00:00,Yes,17.2,86.3,0.66,Medium
2025-05-06 23:30:00,Yes,12.4,95.5,1.94,Medium
2025-05-07 00:00:00,Yes,16.9,76.1,0.73,Medium
2025-05-07 00:30:00,Yes,21.7,86.6,2.11,Medium
2025-05-07 01:00:00,No,19.1,72.0,0.0,Low
2025-05-07 01:30:00,Yes,16.3,79.7,1.94,Medium
2025-05-07 02:00:00,Yes,17.4,82.2,0.49,Medium
2025-05-07 02:30:00,Yes,25.9,105.3,0.08,High
2025-05-07 03:00:00,Yes,17.6,90.4,1.05,Medium
2025-05-07 03:30:00,Yes,29.2,85.8,0.21,Medium
2025-05-07 04:00:00,Yes,23.0,91.1,1.16,High
2025-05-07 04:30:00,Yes,22.5,90.7,1.44,High
2025-05-07 05:00:00,Yes,26.9,86.5,0.37,Medium
2025-05-07 05:30:00,Yes,20.7,92.1,0.0,High
2025-05-07 06:00:00,Yes,21.8,76.1,0.52,Medium
2025-05-07 06:30:00,Yes,26.4,81.9,0.54,Medium
2025-05-07 07:00:00,Yes,13.2,87.5,1.02,Medium
2025-05-07 07:30:00,Yes,30.8,76.9,0.68,Medium
2025-05-07 08:00:00,Yes,21.2,95.8,0.42,High
2025-05-07 08:30:00,Yes,21.4,86.1,0.65,Medium
2025-05-07 09:00:00,Yes,17.8,81.9,1.36,Medium
2025-05-07 09:30:00,No,14.9,81.3,0.0,Low
2025-05-07 10:00:00,No,26.0,64.8,0.05,Low
2025-05-07 10:30:00,Yes,21.9,95.7,0.45,High
2025-05-07 11:00:00,Yes,17.2,98.8,0.0,Medium
2025-05-07 11:30:00,No,9.0,84.4,0.1,Low
2025-05-07 12:00:00,Yes,14.9,87.1,0.7,Medium
2025-05-07 12:30:00,Yes,17.2,67.2,1.2,Medium
2025-05-07 13:00:00,Yes,23.3,79.0,1.98,Medium
2025-05-07 13:30:00,No,14.6,64.7,0.0,Low
2025-05-07 14:00:00,Yes,19.8,82.4,0.31,Medium
2025-05-07 14:30:00,Yes,21.8,67.5,1.66,Medium
2025-05-07 15:00:00,Yes,19.6,91.2,0.77,High
2025-05-07 15:30:00,Yes,22.3,85.7,0.86,Medium
2025-05-07 16:00:00,Yes,23.2,93.3,0.66,High
2025-05-07 16:30:00,Yes,23.5,79.1,1.65,Medium
2025-05-07 17:00:00,Yes,16.6,98.0,0.47,Medium
2025-05-07 17:30:00,No,12.8,81.3,0.0,Low
2025-05-07 18:00:00,No,24.2,73.5,0.14,Low
2025-05-07 18:30:00,No,10.6,75.5,0.0,Low
2025-05-07 19:00:00,Yes,12.1,87.6,1.13,Medium
2025-05-07 19:30:00,Yes,22.1,70.3,0.46,Medium
2025-05-07 20:00:00,Yes,20.0,68.4,1.7,Medium
2025-05-07 20:30:00,Yes,24.4,77.8,0.52,Medium
2025-05-07 21:00:00,Yes,21.0,59.6,0.3,Medium
2025-05-07 21:30:00,Yes,16.6,70.0,0.28,Low
2025-05-07 22:00:00,Yes,29.0,86.4,0.04,Medium
2025-05-07 22:30:00,Yes,22.9,94.0,1.24,High
2025-05-07 23:00:00,Yes,20.3,73.5,1.06,Medium
2025-05-07 23:30:00,Yes,22.0,89.0,1.01,Medium
2025-05-08 00:00:00,Yes,25.2,74.6,1.55,Medium
2025-05-08 00:30:00,Yes,21.0,100.8,0.0,High
2025-05-08 01:00:00,No,28.7,82.0,0.0,Low
2025-05-08 01:30:00,Yes,17.6,76.8,0.84,Medium
2025-05-08 02:00:00,Yes,22.6,74.3,0.48,Medium
2025-05-08 02:30:00,Yes,30.7,97.3,0.85,Medium
2025-05-08 03:00:00,Yes,20.2,81.2,0.99,Medium
2025-05-08 03:30:00,No,14.9,77.4,0.0,Low
2025-05-08 04:00:00,Yes,22.0,86.5,0.11,Medium
2025-05-08 04:30:00,No,27.9,67.7,0.0,Low
2025-05-08 05:00:00,Yes,21.1,90.5,1.85,High
2025-05-08 05:30:00,Yes,17.7,90.8,0.47,Medium
2025-05-08 06:00:00,Yes,19.1,88.8,1.02,Medium
2025-05-08 06:30:00,Yes,12.1,94.8,1.6,Medium
2025-05-08 07:00:00,Yes,16.9,84.0,0.9,Medium
2025-05-08 07:30:00,No,21.3,74.5,0.0,Low
2025-05-08 08:00:00,Yes,19.9,91.7,0.93,High
2025-05-08 08:30:00,Yes,18.1,87.7,0.0,Medium
2025-05-08 09:00:00,Yes,25.7,62.6,0.21,Low
2025-05-08 09:30:00,Yes,14.4,67.1,1.43,Medium
2025-05-08 10:00:00,Yes,17.7,83.5,0.46,Medium
2025-05-08 10:30:00,No,22.4,80.8,0.0,Low
2025-05-08 11:00:00,No,25.0,75.1,0.0,Low
2025-05-08 11:30:00,Yes,17.9,95.0,1.18,Medium
2025-05-08 12:00:00,Yes,18.3,76.5,0.24,Low
2025-05-08 12:30:00,Yes,30.4,83.8,0.84,Medium
2025-05-08 13:00:00,Yes,25.2,82.4,0.29,Medium
2025-05-08 13:30:00,Yes,19.0,79.3,0.47,Medium
2025-05-08 14:00:00,Yes,23.6,80.5,1.09,Medium
2025-05-08 14:30:00,No,19.6,80.8,0.0,Low
2025-05-08 15:00:00,Yes,24.6,83.5,1.3,Medium
2025-05-08 15:30:00,Yes,5.5,100.9,0.39,Medium
2025-05-08 16:00:00,Yes,25.5,69.6,0.99,Medium
2025-05-08 16:30:00,Yes,14.7,73.8,2.03,Medium
2025-05-08 17:00:00,Yes,19.0,82.2,1.2,Medium
2025-05-08 17:30:00,Yes,22.5,81.5,0.79,Medium
2025-05-08 18:00:00,Yes,32.0,79.4,0.66,Medium
2025-05-08 18:30:00,Yes,25.3,91.1,1.45,High
2025-05-08 19:00:00,Yes,23.2,68.6,1.81,Medium
2025-05-08 19:30:00,No,14.3,83.0,0.0,Low
2025-05-08 20:00:00,Yes,19.7,83.3,0.76,Medium
2025-05-08 20:30:00,Yes,22.1,96.1,0.86,High
2025-05-08 21:00:00,Yes,18.8,89.6,1.45,Medium
2025-05-08 21:30:00,Yes,13.9,86.0,1.06,Medium
2025-05-08 22:00:00,Yes,18.5,93.8,0.38,High
2025-05-08 22:30:00,Yes,20.6,78.3,0.51,Medium
2025-05-08 23:00:00,Yes,14.5,65.6,1.78,Medium
2025-05-08 23:30:00,No,15.8,70.1,0.0,Low
2025-05-09 00:00:00,Yes,16.8,66.8,1.81,Medium
2025-05-09 00:30:00,Yes,25.0,73.1,2.3,Medium
2025-05-09 01:00:00,No,24.9,76.8,0.0,Low
2025-05-09 01:30:00,No,31.5,66.1,0.0,Low
2025-05-09 02:00:00,Yes,25.1,104.4,1.61,High
2025-05-09 02:30:00,Yes,22.8,85.9,1.18,Medium
2025-05-09 03:00:00,Yes,23.8,82.8,0.58,Medium
2025-05-09 03:30:00,Yes,19.7,72.5,0.28,Low
2025-05-09 04:00:00,No,11.5,79.0,0.0,Low
2025-05-09 04:30:00,Yes,14.5,81.8,1.61,Medium
2025-05-09 05:00:00,No,24.6,64.3,0.0,Low
2025-05-09 05:30:00,Yes,24.7,70.2,0.32,Medium
2025-05-09 06:00:00,Yes,22.8,70.3,0.58,Medium
2025-05-09 06:30:00,Yes,13.3,74.0,0.76,Medium
2025-05-09 07:00:00,Yes,12.0,84.4,0.48,Medium
2025-05-09 07:30:00,Yes,22.8,82.2,1.59,Medium
2025-05-09 08:00:00,Yes,20.6,75.7,0.6,Medium
2025-05-09 08:30:00,Yes,22.7,80.5,0.53,Medium
2025-05-09 09:00:00,No,16.5,73.4,0.0,Low
2025-05-09 09:30:00,No,28.7,67.6,0.0,Low
2025-05-09 10:00:00,Yes,16.4,88.9,0.26,Medium
2025-05-09 10:30:00,Yes,26.2,73.3,0.72,Medium
2025-05-09 11:00:00,Yes,15.8,101.5,0.0,Medium
2025-05-09 11:30:00,Yes,21.5,86.3,0.83,Medium
2025-05-09 12:00:00,Yes,19.1,78.7,0.54,Medium
2025-05-09 12:30:00,Yes,19.3,89.6,2.27,Medium
2025-05-09 13:00:00,Yes,17.2,66.3,0.43,Medium
2025-05-09 13:30:00,Yes,32.9,72.0,1.81,Medium
2025-05-09 14:00:00,Yes,28.4,74.5,0.96,Medium
2025-05-09 14:30:00,Yes,28.1,76.2,0.34,Medium
2025-05-09 15:00:00,No,17.1,69.9,0.0,Low
2025-05-09 15:30:00,No,13.9,80.3,0.0,Low
2025-05-09 16:00:00,Yes,21.2,64.4,0.76,Medium
2025-05-09 16:30:00,Yes,24.2,60.1,0.8,Medium
2025-05-09 17:00:00,Yes,26.1,67.9,1.84,Medium
2025-05-09 17:30:00,Yes,22.1,72.9,0.46,Medium
2025-05-09 18:00:00,Yes,22.8,80.8,0.93,Medium
2025-05-09 18:30:00,No,15.4,81.7,0.0,Low
2025-05-09 19:00:00,No,19.4,71.0,0.0,Low
2025-05-09 19:30:00,Yes,26.2,90.9,0.99,High
2025-05-09 20:00:00,Yes,14.5,76.8,1.47,Medium
2025-05-09 20:30:00,Yes,20.7,103.2,0.81,High
2025-05-09 21:00:00,Yes,21.0,76.9,0.61,Medium
2025-05-09 21:30:00,Yes,19.2,87.1,1.27,Medium
2025-05-09 22:00:00,No,16.1,66.7,0.0,Low
2025-05-09 22:30:00,No,22.5,69.0,0.0,Low
2025-05-09 23:00:00,Yes,21.9,104.9,0.5,High
2025-05-09 23:30:00,Yes,24.2,80.8,0.42,Medium
